,Unnamed: 0,id,Comentário,class_result,topics,Sabia,sentimentoLeia,pysentimiento,RoBERTa,abaporu
0,0,htfz11y,outra sugestão procure perfil instagram outros sebos abra aba seguidores siga todos puder dessa forma tá chamando olhe perfil pessoas seguem outros perfis sebos seleção interessante públicoalvo,2,2,2,2,1,2,2
1,1,hub93yq,campeonato quarto,0,0,1,2,1,1,1
2,2,hv1xsjp,não entendi,0,-1,1,0,0,0,1
3,3,hvsbpyg,mano lucas lima esperou  minutos anúncio contratação palmeiras pra começar zoar santos tem gente chato pra krl natureza,0,0,0,0,0,0,0
4,4,hwzr3zr,eu acho ouvi muuul,2,-1,1,1,1,1,2
5,5,hx032h3,tô achando ótimo downvotes tô tomando falar gente insuportável elitista,0,3,0,2,0,2,0
6,6,hzr30pf,no meio desses  anos john chutou pedra médico agora dívida  nissan versa km,0,6,0,0,1,0,1
7,7,hztxjm3,jeito q jogou caneca entregou tudo,0,1,1,1,2,1,0
8,8,i0cxpa8,não ninguém vc goste algum lugar queira visitar coisas vontade possuir,0,7,1,0,1,1,1
9,9,i4inod3,é amigo colega chamaria cantinho verificaria tudo bem  afinal depre cara  investigaria sente cheiro dele se boca pode gastro suor podem glândulas se realmente falta banho dificuldades pra ver taxa amputação peniana continua alta justamente falta higiene os caras pegam próprio pau pra lavar de repente sabe tomar banho direito mesmo quando criança  adolescente muitos problemas isso dentro casa afinal criança aprende coisas inspiração aslan neh e mãe jogava cara tals narci mom o acontece realmente olfato tadinho se nariz funciona umas duas vezes ano muito mas aí aprendendo ter cuidados pessoas ter rotina etc,2,0,1,0,1,0,2
10,10,i67yn4d,achei roberto leal novo,0,-1,1,1,1,2,1
11,11,i7791gi,time financiado globo cbf nenhuma novidade,0,0,0,1,0,0,0
12,12,i7p2zsy,mas desfez baixa ipi ministro alexandre glande rs,0,0,1,1,1,0,0
13,13,i8ydcc4,isso lembra zé ruela q xinga amazon dorme esperando virar meia noite promoções  rabo,0,1,0,1,0,0,0
14,14,ibvipou,po antes gerente olha cara fala ué pediu limão zero gorjeta zero retornos uahuauha,0,0,0,0,1,1,0
15,15,idreo6q,eu asco dessa mulher piores desgraças surgiu esgoto bolsonarismo,0,4,0,1,0,0,0
16,16,iei7skv,obrigado compartilhar obra nostalgica,2,2,2,2,2,2,2
17,17,if0zg4r,essa pior cobrança vi história futebol,0,4,0,0,0,0,0
18,18,ilnh8fu,tmj pô curto parada reflexiva tals mó brisa hahaha faz ter umas ideias caixa parada agrega alguns pensamentos sobre vida,2,2,2,2,2,2,2
19,19,imnbsnp,conta criada  dias,0,2,1,2,1,1,1
20,20,imt09y5,o patrimônio barsi público investidor pessoa física assim é então aparece provavelmente nunca vai aparecer nessas listas pq participação relevante empresa gigante algo tipo o pl diluído ações saber quanto tem diferente elon musk exemplo  tesla informação pública então dá pra calcular facilmente patrimônio dele meu chute pl barsi atual uns bi,0,8,1,0,1,0,1
21,21,in2pu3e,a velocidade quantas pikas vai sentar min,0,2,1,1,1,1,1
22,22,in3un5u,já escutou paraíso miragem russo passapusso encarnado juçara marçal violeta terno rei também,0,6,1,2,1,2,1
23,23,inq1nqa,esse filme pra levar filho pra assistir tem filme bom sendo produzido também normalmente menor vi nenhum aposto qualquer desses aqui bem melhor postou,2,2,1,2,1,2,2
24,24,ionoagy,judeus odiados vários povos lá motivo,0,3,1,1,0,0,0
25,25,ipa422s,eu realmente achei vc iria trazer alguma informação argumento kkkkkkkkkkk,2,2,1,0,1,1,2
26,26,ipc74zb,gosto sucessos nu metalnew metal banda milho,2,2,2,2,2,2,2
27,27,ipn6tgm,por foi,0,-1,1,1,1,0,1
28,28,ipnk19u,você deveria ter parado existir tempo amigo pare desperdiçar oxigênio,0,3,0,2,0,0,0
29,29,irvzm2k,porque cabeça simples fato mulher faz automaticamente homem perceba interesse ela caso flertando cara kkkkkkkk,0,-1,1,2,1,0,0
30,30,it0ysf2,claro deve esse melhor corinthians últimos anos,2,0,2,2,2,2,2
31,31,itq7pmd,como muita gente vai entrar post original acho melhor passar informação aqui o cara fez post explicou comentários ranking baseado apenas desempenhos clubes competições conmembol sim ranking grandeza geral clubes fazem parte conmembol por exemplo explica situações corinthians frente grêmio as mesmas questões fazem qualquer brasileiro colocar corinthians maior grêmio campeonato brasileiro mundiais rebaixamentos talvez torcida não sei op considerou isso,0,3,1,2,1,1,1
32,32,iuj23or,arte maneira geral enorme impacto mim se filme herói deu oq pra dar ver normalmente deixa reflexivo,2,2,1,2,2,2,2
33,33,iurpdsj,seguindo firme forte luta posto pior polícia mundo acab especialmente rio,0,8,0,0,0,1,0
34,34,ivhgb5o,pessoa gravada mandando assessores fazer conta fake,0,4,0,1,1,0,0
35,35,ivpy4gn,tudo menos   a vacina  os lockdowns  as urnas  a censura  o fato isentão acabou elegendo maior ladrão história país  o plano governo luladrão mais alguma coisa,0,3,0,2,0,0,0
36,36,iwxln8p,não entendi poha nenhuma sou burro pra krai,0,-1,0,0,0,0,0
37,37,ix3kebu,como alguém pode acreditar história dessas tipo escolha palavras não imaginava pior poderia acontecer eu acordei murro direita minha imaginação descreve corpo cima,0,1,0,0,0,0,0
38,38,ix414hb,nossa euacho q vai dar tanta merda tanta gnt vai acabar presa querer beber comemorar rua tocarconversar mulheres público,0,4,0,0,0,0,0
39,39,iz6s4xi,kkkkkkkk discordo bloqueio usuários amanhã vou ficar tendo contato interessa,2,7,1,0,1,1,2
40,40,iz74kts,o ideal aqui cuidar bem disso antes voltar exercitar forma extrema novamente corridas longas etc se curar bem pode acabar tendo problema muitos anos pro resto vida vai poder fazer corridas tanto gosta ideal ir médico pode pagar vai sus ortopedista precisa cuidar disso aí,2,1,1,2,1,1,2
41,41,j1d2iur,professor economia falando esquerdista retardado deve formado escolinha olavo carvalho,0,7,0,0,0,0,0
42,42,j1t4foo,eu recomendo passar máquina zero kkkk sem brincadeira vez passei nunca voltei atrás vezes impressão pessoas olham estranho rua kkkk,2,7,2,2,1,0,2
43,43,hrq08kh,acho q melhor pão açúcar q dá  real milha,2,5,2,2,2,1,2
44,44,hs6dhrj,cadê user faz uns desenhos amazofuturismo edit lembrei uqrz,0,5,1,1,1,1,1
45,45,huutovu,cara consegui terminar ler post pq subiu ódio inexplicável eu poderia ficar horas justificando única solução possível provavelmente sabe termina ponto final chora grita rola chão tristeza termina muito melhor chorar perder vc gosta manter faz mal ser burro escolha manter relação burrice parte desculpa parecer grosso algo tipo infelizmente jeito fácil ilustrar pra alguém fez  tópicos aqui nn percebeu merece migalha relação,0,3,0,0,0,0,0
46,46,hxvk87n,você recusar ficar mínimo não merece parabéns culpa disso não,0,4,0,2,0,0,0
47,47,i01vk33,parei estudar ano  uma melhores decisões vida,2,2,2,1,2,1,2
48,48,i061d25,pior brasil bomba relógio ter crescimento econômico decente sustentável afinal população envelhecendo eventualmente população ativa vai chegar pico cair própria população vai encolher creio momento dois acontecer vai tarefa bem díficil ter crescimento decente,0,1,0,0,0,0,0
49,49,i0aub1n,mas ganha salário mínimo carro,0,4,1,2,1,1,1
50,50,i0jo832,bela faixa,2,0,2,1,2,2,2
51,51,i0jpcfe,dishonored conheço outros jogos sao rpg,0,5,1,1,1,1,1
52,52,i3u27wg,seu namorado bosta,0,7,0,1,0,0,0
53,53,i4hnizn,vc pode ilustrador freelancer ganhar dinheiro internet amplo demais eu ganho dinheiro internet caso trabalho home office,2,-1,1,2,1,1,1
54,54,i65ht96,já bonzinho so fudi hoje quero saber dando melhor o mundo competicao quem fraco esmagado,2,7,0,2,1,0,0
55,55,i6y9dr8,deixa pessoas fazerem quiserem larga atitude se pensar  minutos eu super odeio fiscaliza vida outros afinal cada deveria cuidar dela mas acontece ter filho literalmente criar nova vida seja der merda vai afetar apenas vida pessoa vai ter inocente que pediu nascer sofrendo mundo,0,1,0,0,0,0,0
56,56,i787a8z,putz começou,0,-1,1,1,0,1,0
57,57,i8fli3p,esses bodybuilders morrem coração decorrência uso substância anabolizantes,0,5,1,1,1,0,1
58,58,ibn8siz,desde vítima categoria oprimida,0,4,1,0,1,1,0
59,59,ibzchpf,tá não usei regua aqui linha tá torta,0,0,0,0,1,0,0
60,60,idric1j,opinião polêmica que delírio esse kkk,0,6,0,1,0,0,0
61,61,ierbcbb,mesmo reagir vai morrer e irão dizer reagiu é assim  casos o bandido sempre razão vítima sociedade você escroto ameacou maravilhosa vida dele em todas matérias saem sobre morte latrocínio sempre fala vítima reagiu mas maneira atestar bondade inocência desses lixos aí,0,1,0,2,0,0,0
62,62,ifbtdcd,unico movimento chegou política ontem campeão,0,-1,0,2,2,1,0
63,63,iftgflv,piadas riem desgraça alheia acho desnecessário,0,3,0,0,0,0,0
